"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL3989934";"AVADOMIDE";"2.0";"286.29";"0";"0.26";"Avadomide";"Cc1nc2cccc(N)c2c(=O)n1C1CCC(=O)NC1=O";"Ki";"'='";"16700.0";"nM";"4.78";"";"";"UO_0000065";"16.69";"0.31";"4.52";"4.46";"0";"CHEMBL4679656";"Binding affinity to human CRBN-thalidomide binding domain expressed in Escherichia coli by measuring baseline corrected normalized fluorescence by MST based assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4673389";"1";"Scientific Literature";"ACS Med Chem Lett";"2021";"None";"";"BINDING AGENT";"";"16.7"
"CHEMBL3989927";"IBERDOMIDE";"3.0";"449.51";"0";"1.86";"Iberdomide";"O=C1CC[C@H](N2Cc3c(OCc4ccc(CN5CCOCC5)cc4)cccc3C2=O)C(=O)N1";"Ki";"'='";"4940.0";"nM";"5.31";"";"";"UO_0000065";"11.80";"0.22";"3.45";"6.02";"0";"CHEMBL4679656";"Binding affinity to human CRBN-thalidomide binding domain expressed in Escherichia coli by measuring baseline corrected normalized fluorescence by MST based assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4673389";"1";"Scientific Literature";"ACS Med Chem Lett";"2021";"None";"";"BINDING AGENT";"";"4.94"
"CHEMBL5399100";"";"None";"1070.15";"None";"None";"AK-2292";"CN(CCCC#Cc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)C(=O)CCN(C(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)c1cc2cc(C(F)(F)P(=O)(O)O)ccc2s1)C(C)(C)C)c1ccc(-c2nccs2)cc1";"Ki";"'='";"170.0";"nM";"6.77";"";"";"UO_0000065";"6.33";"None";"None";"None";"0";"CHEMBL5382003";"Binding affinity to GST-tagged wild type human CRBN assessed as inhibition constant by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5380794";"1";"Scientific Literature";"J Med Chem";"2023";"None";"";"DEGRADER";"";"170.0"
"CHEMBL4799229";"";"None";"839.95";"2";"2.93";"7";"CC1(Oc2ccc3[nH]nc(-c4cc(N5CCN(C(=O)CCOCCOCCOCCOCCNc6cccc7c6C(=O)N(C6CCC(=O)NC6=O)C7)CC5)ncn4)c3c2)CC1";"Activity";"";"";"";"";"";"";"";"";"";"";"";"0";"CHEMBL5366281";"Binding affinity to CRBN (unknown origin) by cell-based CRBN engagement assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5365424";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2023";"None";"";"";"Not active";""
"CHEMBL43452";"POMALIDOMIDE";"4.0";"273.25";"0";"-0.33";"Pomalidomide";"Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O";"Activity";"";"";"";"";"";"";"";"";"";"";"";"0";"CHEMBL5366281";"Binding affinity to CRBN (unknown origin) by cell-based CRBN engagement assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5365424";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2023";"None";"";"DEGRADER";"Active";""
"CHEMBL4170596";"";"None";"440.89";"0";"2.73";"CC-885";"Cc1ccc(NC(=O)NCc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cc1Cl";"Activity";"";"";"";"";"";"";"";"";"";"";"";"0";"CHEMBL4835741";"Induction of MDM2/p53 degradation in human RS4-11 cells assessed as downregulation of p53 level at 10 nM measured after 6 hrs by western blot analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"RS4-11";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4834427";"1";"Scientific Literature";"Eur J Med Chem";"2021";"None";"Dose = 10.0 nM | TIME = 6.0 hr";"DEGRADER";"Active";""
"CHEMBL4207108";"";"None";"988.61";"3";"6.21";"12; TL13-110";"Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCN(CCOCCOCCNC(=O)CNc2cccc3c2C(=O)N(C2CCCNC2=O)C3=O)CC1";"Inhibition";"";"";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4183659";"Displacement of Atto565-Lenalidomide from CRBN fused with DDB1deltaB (unknown origin) by fluorescence polarization assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4177764";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";"Not active";""
"CHEMBL5419977";"";"None";"442.38";"0";"0.90";"Table 1, R13C1";"O=C1CCC(N2Cc3ccc(S(=O)(=O)n4ccc(C(F)(F)F)n4)cc3C2=O)C(=O)N1";"IC50";"'='";"50.4";"nM";"7.30";"";"";"UO_0000065";"16.50";"0.33";"6.40";"6.16";"0";"CHEMBL5375575";"Displacement of BODIPY-lenalidomide from human N-terminal NanoLuc-fused CRBN expressed in HEK293T cells incubated for 2 hrs by NanoBRET assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293T";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5370678";"1";"Scientific Literature";"ACS Med Chem Lett";"2023";"None";"TIME = 2.0 hr";"BINDING AGENT";"";"50.4"
"CHEMBL5422650";"";"None";"781.38";"2";"5.73";"Pro-4";"Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCCN1CCC(c3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)CC1)c1nnc(C)n1-2";"IC50";"'='";"14.6";"nM";"7.84";"";"";"UO_0000065";"10.03";"0.19";"2.11";"5.52";"0";"CHEMBL5379637";"Binding affinity to Nano-Luc fused CRBN (unknown origin) expressed in digitonin-permeabilized HEK293 cells incubated for 10 mins by NanoBRET target engagement assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5376000";"1";"Scientific Literature";"J Med Chem";"2023";"None";"TIME = 0.1667 hr";"BINDING AGENT";"";"14.6"
"CHEMBL5279477";"";"None";"326.31";"0";"0.11";"EM12-SF";"O=C1CCC(N2Cc3ccc(S(=O)(=O)F)cc3C2=O)C(=O)N1";"IC50";"'='";"1.1";"nM";"8.96";"";"";"UO_0000065";"27.45";"0.56";"8.85";"8.90";"1";"CHEMBL5380587";"Inhibition of N-terminal fused Nano Luc CRBN in HEK293T cells by NanoBRET CRBN engagement assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293T";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5376021";"1";"Scientific Literature";"RSC Med Chem";"2024";"None";"";"INHIBITOR";"";"1.1"
"CHEMBL5425793";"";"None";"230.27";"0";"0.81";"EM364; CPD-2380";"O=C1CCC(N2Cc3ccccc3C2)C(=O)N1";"IC50";"'='";"23000.0";"nM";"4.64";"";"";"UO_0000065";"20.14";"0.37";"3.83";"9.39";"0";"CHEMBL5380587";"Inhibition of N-terminal fused Nano Luc CRBN in HEK293T cells by NanoBRET CRBN engagement assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293T";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5376021";"1";"Scientific Literature";"RSC Med Chem";"2024";"None";"";"INHIBITOR";"";"23.0"
