Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,activity_nM,activity_M,pActivity,binding_label
CHEMBL3989934,AVADOMIDE,2.0,286.29,0.0,0.26,Avadomide,Cc1nc2cccc(N)c2c(=O)n1C1CCC(=O)NC1=O,Ki,'=',16700.0,nM,4.78,,,UO_0000065,16.69,0.31,4.52,4.46,0,CHEMBL4679656,Binding affinity to human CRBN-thalidomide binding domain expressed in Escherichia coli by measuring baseline corrected normalized fluorescence by MST based assay,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL4673389,1,Scientific Literature,ACS Med Chem Lett,2021,,,BINDING AGENT,,16.7,16700.0,1.67e-05,4.777283528852417,0
CHEMBL3989927,IBERDOMIDE,3.0,449.51,0.0,1.86,Iberdomide,O=C1CC[C@H](N2Cc3c(OCc4ccc(CN5CCOCC5)cc4)cccc3C2=O)C(=O)N1,Ki,'=',4940.0,nM,5.31,,,UO_0000065,11.8,0.22,3.45,6.02,0,CHEMBL4679656,Binding affinity to human CRBN-thalidomide binding domain expressed in Escherichia coli by measuring baseline corrected normalized fluorescence by MST based assay,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL4673389,1,Scientific Literature,ACS Med Chem Lett,2021,,,BINDING AGENT,,4.94,4940.0,4.94e-06,5.306273051076353,0
CHEMBL5399100,,,1070.15,,,AK-2292,CN(CCCC#Cc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)C(=O)CCN(C(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)c1cc2cc(C(F)(F)P(=O)(O)O)ccc2s1)C(C)(C)C)c1ccc(-c2nccs2)cc1,Ki,'=',170.0,nM,6.77,,,UO_0000065,6.33,,,,0,CHEMBL5382003,Binding affinity to GST-tagged wild type human CRBN assessed as inhibition constant by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5380794,1,Scientific Literature,J Med Chem,2023,,,DEGRADER,,170.0,170.0,1.7000000000000001e-07,6.769551078621726,1
CHEMBL5419977,,,442.38,0.0,0.9,"Table 1, R13C1",O=C1CCC(N2Cc3ccc(S(=O)(=O)n4ccc(C(F)(F)F)n4)cc3C2=O)C(=O)N1,IC50,'=',50.4,nM,7.3,,,UO_0000065,16.5,0.33,6.4,6.16,0,CHEMBL5375575,Displacement of BODIPY-lenalidomide from human N-terminal NanoLuc-fused CRBN expressed in HEK293T cells incubated for 2 hrs by NanoBRET assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293T,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5370678,1,Scientific Literature,ACS Med Chem Lett,2023,,TIME = 2.0 hr,BINDING AGENT,,50.4,50.4,5.04e-08,7.297569463554475,1
CHEMBL5422650,,,781.38,2.0,5.73,Pro-4,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCCN1CCC(c3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)CC1)c1nnc(C)n1-2,IC50,'=',14.6,nM,7.84,,,UO_0000065,10.03,0.19,2.11,5.52,0,CHEMBL5379637,Binding affinity to Nano-Luc fused CRBN (unknown origin) expressed in digitonin-permeabilized HEK293 cells incubated for 10 mins by NanoBRET target engagement assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5376000,1,Scientific Literature,J Med Chem,2023,,TIME = 0.1667 hr,BINDING AGENT,,14.6,14.6,1.46e-08,7.835647144215563,1
CHEMBL5279477,,,326.31,0.0,0.11,EM12-SF,O=C1CCC(N2Cc3ccc(S(=O)(=O)F)cc3C2=O)C(=O)N1,IC50,'=',1.1,nM,8.96,,,UO_0000065,27.45,0.56,8.85,8.9,1,CHEMBL5380587,Inhibition of N-terminal fused Nano Luc CRBN in HEK293T cells by NanoBRET CRBN engagement assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293T,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5376021,1,Scientific Literature,RSC Med Chem,2024,,,INHIBITOR,,1.1,1.1,1.1000000000000001e-09,8.958607314841775,1
CHEMBL5425793,,,230.27,0.0,0.81,EM364; CPD-2380,O=C1CCC(N2Cc3ccccc3C2)C(=O)N1,IC50,'=',23000.0,nM,4.64,,,UO_0000065,20.14,0.37,3.83,9.39,0,CHEMBL5380587,Inhibition of N-terminal fused Nano Luc CRBN in HEK293T cells by NanoBRET CRBN engagement assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293T,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5376021,1,Scientific Literature,RSC Med Chem,2024,,,INHIBITOR,,23.0,23000.0,2.3e-05,4.638272163982407,0
CHEMBL5397713,,,328.32,0.0,-0.19,CPD-362,O=C1CCC(NC(=O)Cc2cccc(S(=O)(=O)F)c2)C(=O)N1,IC50,'=',3600.0,nM,5.44,,,UO_0000065,16.58,0.34,5.63,4.98,0,CHEMBL5380587,Inhibition of N-terminal fused Nano Luc CRBN in HEK293T cells by NanoBRET CRBN engagement assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293T,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5376021,1,Scientific Literature,RSC Med Chem,2024,,,INHIBITOR,,3.6,3600.0,3.6000000000000003e-06,5.443697499232712,0
CHEMBL5400126,,,435.52,0.0,2.22,CPD-2743,O=C1CCC(N2Cc3cccc(OCc4ccc(CN5CCOCC5)cc4)c3C2)C(=O)N1,IC50,'=',808.0,nM,6.09,,,UO_0000065,13.99,0.26,3.87,8.57,0,CHEMBL5380587,Inhibition of N-terminal fused Nano Luc CRBN in HEK293T cells by NanoBRET CRBN engagement assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293T,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5376021,1,Scientific Literature,RSC Med Chem,2024,,,INHIBITOR,,808.0,808.0,8.08e-07,6.092588639225414,1
CHEMBL5432225,,,327.34,0.0,0.08,28,CN1CCc2cc3c(cc2C1)C(=O)N(C1CCC(=O)NC1=O)C3=O,Ki,'=',6000.0,nM,5.22,,,UO_0000065,15.95,0.3,5.14,6.02,0,CHEMBL5367924,Binding affinity to CRBN (unknown origin) assessed as inhibition constant,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5365467,1,Scientific Literature,J Med Chem,2023,,,DEGRADER,,6.0,6000.0,6e-06,5.221848749616356,0
