Molecule ID,Smiles,multimodal_score,rank
imid_9,O=C1NC(C2=CC=CC=C2Br)=C(C(=O)N1)N,0.16205601394176483,1
imid_3,O=C1NC(C2=CC=CC=C2Cl)=C(C(=O)N1)N,0.15981996059417725,2
imid_5,O=C1NC(C2=CC=CC=C2F)=C(C(=O)N1)N,0.15358734130859375,3
imid_4,O=C1NC(C2=CC=CC=C2OC)=C(C(=O)N1)N,0.1497410088777542,4
imid_1,O=C1NC(C2=CC=CC=C2)=C(C(=O)N1)N,0.14454320073127747,5
imid_7,O=C1NC(C2=CC=CC=C2N)=C(C(=O)N1)N,0.1388375163078308,6
imid_10,O=C1NC(C2=CC=CC=C2I)=C(C(=O)N1)N,0.1376415193080902,7
imid_8,O=C1NC(C2=CC=CC=C2C)=C(C(=O)N1)N,0.13304992020130157,8
imid_6,O=C1NC(C2=CC=CC=C2C#N)=C(C(=O)N1)N,0.1324261724948883,9
imid_2,O=C1NC(C2=CC=CN=C2)=C(C(=O)N1)N,0.12956401705741882,10
